name,description
FKU50,"We didn't bargain for this.But we're here to talk about it!With raw humor and help from friends and experts,we tackle the challenges and explore the secrets of aging well.It's all about...OUTSMARTING LIFE AFTER 50! On this bonus episode, meet the founders of Three Odd Guys brewing, a new brewery coming to Apopka, Florida. Listen in to hear the story behind the brand. In today’s episode, we had Dr. Jason Karp, an internationally recognized running coach, author, speaker, and founder of Run-Fit on the show to talk about the art of running. Karp fell in love with the sport of running in middle school and has been obsessed with the science behind peak athletic performance ever since. Listen in for tips and inspiration that will empower you to keep running well past the age of 50. After perhaps the most difficult year of his life, our guest Howard Snooks asked the Universe for a sign. Shortly after he read an article in the paper about the need for Baby Boomer representation in the modeling industry. He found an agent, locked down a gig and the rest is history. At the age of 65, Howard started his career in commercial modeling. Yes, you read that right. 5 years later he’s now a runway model and has starred in two indie films. If you’re looking for inspiration on navigating life’s curveballs and still coming out on top, you’ve come to the right place. Jay Jones decided to change his career path at 49 when he saw the importance of the plant-based movement to the health of people and the environment. He is now the Vice President of Sales for Heritage Health Food and manages the sale of Worthington Food products, a brand that’s offered tasty plant-based foods since 1945. Learn about the oldest plant-based option on the market on this episode of FKU50. When menopause started early for our guest, Rachel Lankester, she was devastated at first. Over time she came to view this period as a positive experience that inspired introspection and soul-searching in her life. Leaving an uninspiring career in the PR field, she now hosts The Magnificent Midlife, a podcast intended to empower women to live their midlife to the fullest. On today’s episode, she shares her experience with menopause and provides insights into how men can be more present and understanding with the women in their life as they navigate menopause together. We all have more junk in our garage than we’d like to admit. Wayne Clark, owner of Garage Living, came on the show to talk about his area of expertise: helping people turn their garage into a place that sparks joy instead of dread. If you need some motivation to clean your garage, this episode’s for you."
Flatline Fitness Podcast,"Flatline Fitness takes a science based approach to training and nutrition. Ran by Joel Cummins and Garrett Augsburger. Episode 11 of the Flatline Fitness podcast, Garrett and Joel discuss the different types of artificial sweeteners on the market. Are artificial sweeteners ok? Are they safe? Do they cause cancer? Can they contribute to obesity? Find out for yourselves! Joel and Garrett are now on the 10th episode of the Flatline Fitness Podcast. In this episode they discuss hypertrophy and hyperplasia. It's all about building muscle and how to do so. Subjects talked about in this episode go from intense training techniques to just the basics of getting results from weight lifting! In this installment of the Flatline Fitness Podcast, Garrett and Joel highlight 3 of the most popular performance supplements on the market. Creatine, Beta-Alanine, and Citrulline are common compounds found in all kinds of products such as energy drinks, pre-workouts, and health products in general. However, are they worth your time and money? Garrett and Joel are back with an episode on ketogenic dieting. While ketogenic dieting has been around for years, it has recently caught a lot of attention with buzz words such as ""burn more fat"" and so on. Garrett and Joel explain the pros and cons of ketogenic dieting, who it might benefit most, as well as just the basic science and thought behind it all! In this podcast, Garrett and Joel discuss caffeine, cortisol, and how caffeine can affect cortisol levels. Caffeine intake is discussed how it relates to every day lifestyles as well as how it can impact health and fitness. Episode 6 of the flatline fitness podcast is a discussion about prepping for a bodybuilding/physique show. Joel and Garrett discuss some personal experiences regarding contest prep as well as some of the common processes of show prep. This is a good listen for anyone who is curious about show prep or looking to start prepping for a show!"
Fleet Fitness,Fitness talk from the real capital of England Kicking off the podcast with a short meta episode about my current procrastination item - starting a podcast
Flex and Flexibility,"Yoga classes recorded live, follow along with me! Variety of classes: gentle, vinyasa, beginner, yin, and more. Please leave me a message and let me know what u think. Good and bad and any suggestions ❤️ This is a soothing practice, we breathe and open our heart and mind. ❤️ Try this one to help open the joints and lengthen the range of motion. Just a little challenge in this one. Breathe and enjoy your body breathing. Let me know what you think ❤️ This is a yin-like class to mentally let go of the week, and let the body relax and release. Let me know what you think. ❤️ This is a slow flow class focused on breathing into the body while we make different shapes. We learn how to balance and explore. Lunge. Tree. Frog. Pigeon. Breathe. ❤️ This is a nice introspective practice, we do some eagle, pyramid, side planks, and of course, pigeon. It’s a nice one. Let me know what you think! This one starts gentle and we kick it up with some balancing poses. Have your block close by. We finish with a little yin."
FlexOn Radio,"Welcome to FlexOn Radio where we discuss Life, Fitness, and Bullsh*t.  Join us for laughs, fitness knowledge, and our in-depth discussion about this crazy thing called life! Official Intro of FlexOn Radio"
Flo State: Unlock Your Flo,"Fitness and wellness coaches Tyler and Sean LeFloch explore the world of connection and personal growth.  Their unique blend of thoughtful concepts, humor, and experiential knowledge will leaving you ready to be the best version of you! Welcome back to the Flo State with Tyler and Sean LeFloch!

In this episode, Tyler and Sean discuss David Epstein's Range: Why Generalists Triumph in a Specialized World.

Key Lessons:
1. If the environment isn't ""nice,"" having flexibility is key
2. Grit can sometimes go against you.  You have to be able to quit early
3. We learn who we are by practice, not in theory

If you like today's podcast, please subscribe, rate, review, and share with your friends! Welcome back to the Flo State with Tyler and Sean LeFloch

This is Season 2 Episode 8 and we are talking about procrastination.

How would you define procrastination?
In what areas do you find yourself procrastinating, business, relationship, and personal?
What do you think of the saying, what I procrastinate I delegate? 
Holidays I thought about vacation vs procrastination
Where did you find yourself procrastinating as a kid?
What feelings come to mind when you say I procrastinate
What are some ways we can use procrastination to gain clarity
How can we overcome procrastination and resistance?

What you'll learn:
1. A half assed effort is better than no effort
2. Action-&gt;Failure-&gt;Learn-&gt;Action
3. Success leads to motivation, not the other way around
4. Have someone hold you accountable (you'll be amazed at the force of people caring)

If you like today's podcast, please subscribe, rate, review, and share with your friends! Welcome back to the Flo State with Tyler and Sean LeFloch

This is Season 2 Episode 8 and we are talking about setting boundaries

In this week's discussion we talk about the importance of be one step ahead of those you lead, sharing how you have integrated lessons you learned, and better ways of communicating with someone who is not respecting your boundaries.

If you like today's podcast, please subscribe, rate, review, and share with your friends! Welcome back! In this episode, we cover the idea: Fake it 'til you make it?

Working on your business vs. Working in Your Business

Sean's need to achieve/fix

The ability to hold paradox
-""I am perfect, I am whole, and I am filled with unconditional love""
-""Money moves to me fluidly and abundantly""
Moving and flowing without pressure
Being free of the money in your bank account

Masculine vs. feminine

Fight every battle vs. Letting Things Go

Am I at the mercy of what people say about me?

Road Rage

What we learned:
1.  Say, ""Goody Goody Gum Drops,"" to create space during sticky situations""
2. Take power by letting go of the victim mentality
3. Feeling anger is ok

If you like today's podcast, please subscribe, rate, review, and share with your friends! Welcome back!

In this week's episode, Tyler and I do a book review with our book of the month, Extreme Ownership by Jocko Willink and Leif Babin.  

In this episode, we discuss the major takeaways of the book, lessons that they are trying to convey, and what we can take and use in our everyday life.

If you like today's podcast, please subscribe, rate, review, and share this with your friends!

Please like, subscribe, rate, and share this podcast! Welcome back!

What if I told you you had to take 5 days off from the gym?
What kind of inner chatter would go on?  What doubts would you have?  

How are you motivating yourself?
Are you being driven away from something, or toward a goal?
Are you seeking to create safety in the system?

All these questions are answered and more in this week's episode.

The main takeaway from this episode:
YOU CAN'T OUTSOURCE YOUR HEALTH

Please like, subscribe, rate, and share this podcast!"
Florida’s Fittest Podcast,"I’m searching for the fittest and most athletic people in the great state of Florida and I want you to share your story! In this episode we talk about; Settings goals, the importance of community and How diet wars are stupid. Marc Cabanig aka My Primal Being shares his insight on these topics as well as how he got started and what are his plans are for the future. You can find him at @myprimalbeing on everything and you can find me on Instagram @mcox91. 

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app Welcome to 2020!! Today I shared some of the main factors that helped shape a Strong Mindset. With everyone making “resolutions and goals” I wanted to make sure I did my part in helping you achieve them! If you liked this episode please share! Especially if you are a young athlete or coach. If you want to be featured in a future episode shoot me a message on instagram @mcox91 ✌🏾

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app Inside look at Professional Wrestling from two rising Superstars! I’m so thankfully to have met and befriended some awesome individuals! We talk about their start, where they want to go, their mindset into training, diet and performance. You can find them both @allierecks and @thebigorlando on instagram and Twitter. They also have a YouTube channel “the grass is always greener”. You can find me at @mcox91 and shoot me a DM if you want to be featured! 

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app I’m on a mission to fill my creative void. I had a dream that I hosted my own podcast twice this week so here I am! The episode is a little bit rough but it was my first swing at it I promise that I will get better. I just gave a little athletic background of myself but I hope to introduce some motivational stories from some awesome people and share other personal stories as well. If you are interested in being featured in a future podcast shoot me a DM in my instagram @mcox91 Peace!!✌🏾

--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app"
Flow With Me Yoga,"Flow with Me Yoga is a podcast for passionate yogis looking to roll out their mats and get right to it. No long intros, disclaimers, or ads, just a guided Vinyasa yoga flow recorded specifically for listening and flowing along. The podcast offers three types of classes – Classic Flow, Gentle Flow, and Power Flow. Gentle Flow offers a slower pace and longer holds. This is not a euphemism for a watered down asana practice. Gentle flow is a legit flow class. Classic Flow offers a mid-line of intensity and pace. Get ready for chaturanga pushups along with power elements in standing postures. Power Flow kicks the levels of intensity up a notch with core work in high planks, holds at bottoms on chaturanga pushups, and standing series that build on one another. Your legs will feel it the next day. So will your arms and core. Is getting stronger not what you came here for? Come flow with me! For more information, visit www.flowwithme.yogaThis podcast is intended for experienced yogis. Please listen to your body and go at your own pace. For your safety, make sure you are healthy enough to practice yoga. By listening to this podcast, you are accepting full responsibility for your practice. A 60 minute Classic Vinyasa Flow Yoga class 2020 YOGA RETREAT ALERT (see details). A 75 minute Classic Vinyasa Flow Yoga class A 60 minute Gentle Vinyasa Flow Yoga class A 60 minute Classic Flow Yoga class A 65 minute Classic Flow Yoga class A 75 minute Gentle Flow Yoga class"
Focus On Podcast,"A strength, fitness and performance podcast hosted by coaches of Focus Strength & Conditioning. Weekly episodes will cover all things strength, fitness, health & performance. With regular guests from the world of fitness and beyond. Tony gives his take on steroids, the online fitness industry, female training &amp; nutrition protocols and tips for aspiring online coaches. New Years health and fitness resolutions. Questions and answers about strength, fitness and performance!"
Food is Medicine with Patrick Holford,"Patrick Holford is a pioneer in new approaches to health and nutrition and is widely regarded as Britain’s best-selling author and leading spokesman on nutrition and mental health issues. With new discoveries about the links between nutrition and health coming to light every day, and newspapers reporting often conflicting information, these pod casts aim to give you reliable information on what to eat and supplement to help improve your health and prevent some of the most common diseases today including cancer, dementia and diabetes.Go to www.patrickholford.com for more tips and advice from Patrick. Patrick Holford Talks to the producer of the award winning film 'The Greater Good' Leslie Manookian about Vaccinations. www.patrickholford.com is currently the only retailer of 'The Greater Good' in the UK. In this podcast Patrick speaks with Dr. Gill Hart about food allergies, the suprisingly long list of ailments a food allergy can contribute to and most importantly what you can do about it. Patrick has teamed up with yorktest to offer you some great deals on testing. with savings of up to £148.
Just go to www.patrickholford.com/yorktest for details. Patrick Holford Talks to Professor Dan Burke about Salvestrols and their effects as anti-cancer nutrients This podcast provides a brief overview of the issues facing the ageing population and some ideas of how to slow the process down. Patrick Holford is going to be on his healthy ageing tour in the UK and Ireland in April and May. Discussing topics such as Say no to diabetes and heart disease, how to prevent alzheimers and balance your mood, Say no to cancer and infections, finishing off with a plan for how you can learn add years to your life and life to your years. To find out more and to book your place at these events go to www.patrickholford.com and click on events"
Food Sleuth Radio,"Dietitian Melinda Hemmelgarn helps listeners “think beyond their plates,” connect the dots between food, health and agriculture, and find food truth. Did you know that photographers use special techniques to create mouth-watering food images? Join Food Sleuth Radio host and registered dietitian, Melinda Hemmelgarn, for her interview with Andrew Scrivani, NY Times food photographer, and author of That Photo Makes Me Hungry: Photographing Food for Fun &amp; Profit. Scrivani will discuss his career, and describe the techniques he uses to create enticing images of real food. Scrivani’s book not only reveals the photographer’s inside tips, but provides a “self-help” element to encourage other food photographers to create their best work yet.
Related website:   www.andrewscrivani.com Did you know that the American Public Health Association has called for a moratorium on Concentrated Animal Feeding Operations (CAFOs) because of risk to public health and the environment? See: https://www.apha.org/policies-and-advocacy/public-health-policy-statements/policy-database/2020/01/13/precautionary-moratorium-on-new-and-expanding-concentrated-animal-feeding-operations   Join Food Sleuth Radio host and registered dietitian, Melinda Hemmelgarn, for her interview with Terry Spence, livestock farmer based in northeast Missouri, and Executive Director of the Socially Responsible Agricultural Project. Spence describes how his life changed after 80,000 hogs moved in next door to his family farm. He now works nationally on policies to protect the environment, quality of life, and human health. Spence discusses environmental regulations, citizen rights, and farm practices and policy. 
Spence frequently speaks on panels following screenings of the new documentary film, “Right to Harm:” https://righttoharm.film/
Related website:   https://sraproject.org/ Did you know that there are at least 4,700 highly fluorinated chemicals, often called “PFAS” in many everyday consumer products, and that these chemicals pose harm to human health? Join Food Sleuth Radio host and registered dietitian, Melinda Hemmelgarn, for her interview with Laurel Schaider, Ph.D., Research Scientist at the Silent Spring Institute. Schaider discusses water contamination from PFAS chemicals, and the consumer products that contain them, including: non-stick cookware, grease-proof food packaging, and even dental floss.  For a map of the U.S. with identified PFAS contamination see: https://www.ewg.org/interactive-maps/2019_pfas_contamination/map/
Related website:   https://silentspring.org/project/everyday-exposures-pfas-chemicals Did you know that dieting can lead to disordered eating? Join Food Sleuth Radio host and registered dietitian, Melinda Hemmelgarn, for her interview with James Greenblatt, M.D., author of “Integrative Medicine for Binge Eating.”  Greenblatt discusses how dieting and food deprivation can lead to disordered eating, and the role of media, sleep, stress and exercise on appetite and binge eating disorders.  He describes the benefits of mindfulness, exercise and cognitive behavioral therapy in treatment.
Related website:   https://www.jamesgreenblattmd.com/ Did you know that eating well is one of the most important ways we can feel and look our best? However, navigating popular diets and food and nutrition media messages can be confusing.  Join Food Sleuth Radio host and registered dietitian, Melinda Hemmelgarn, for her light-hearted but practical interview with Mary Donkersloot, R.D., host of Mary’s Smart Eating Show. Donkersloot discusses some of the most popular eating trends and recommendations from the past year including red meat warnings, keto diets, gut health, and more.  If you want to start the next decade on the road to better health, tune in.
Related website:   http://marydonkersloot.com/smart-eating-show/ Did you know that the time of day when we exercise can help better control blood sugar levels?  Join Food Sleuth Radio host and registered dietitian, Melinda Hemmelgarn, for her interview with Jill Kanaley, Ph.D., Exercise Physiologist and Professor in the Department of Nutrition and Exercise Physiology at the University of Missouri. She’ll discuss her research on the effects of diet composition and exercise/physical activity on blood sugar and body fat.  She recommends the American College of Sports Medicine to stay abreast of exercise research: www.acsm.org"
Foolproof Fat Loss,"Welcome to Foolproof Fat Loss! This podcast provides honest, unbiased and unedited information on how to get fit, burn fat and feel healthier, all with the aim of providing actionable and simple tasks every single episode that will help move you in the right direction. This is extremely important to us both as we don't want you listening just for the sake of listening; implementation over information! Rob is a PT based in Petersfield, Hampshire and Joe is a PT based in Waterlooville, Hampshire. Between us we have over 15 years experience in the industry and have worked every job possible. How to avoid the endless trap of New Years resolutions and utilise effective goal setting to break the cycle. We also debate the pros and cons of popular health trends seen at this time of year and what's coming up in season 2. How to enjoy the Christmas period without sacrificing everything whilst avoiding a huge weight gain. A look into whether group exercise classes are a good idea or not, where to start, and whether you should take part with an injury or not. 3 of your most important questions answered honestly and effectively. Your burning questions around fitness and fat loss answered by two personal trainers, with 100% honesty. Autopilot Your Fat Loss: The Secret 3-Step, 5 minute Process To Automating Your Fat Loss For Life, Starting Today"
For Triathlon People,"FTP: For Triathlon People will bring you everything from race recaps, to tri tips and tricks, to interviews with triathlon VIPs, and more! Make us a part of your weekly training plan. 0:00 Pro race recap | 10:57 Updates on our training and mentally dealing with an injury | 22:30 Training in a relationship | 31:37 Paige's Progress #2 | 34:18 Cam's Corner: indoor trainers, trainer programs, carbon shoes, bike bags | 1:03:50 ""Balancing"" a full time job and training 0:00 Updates on our training and injury management | 
14:45 Nutrition basics | 
27:00 Response to The Game Changers | 
43:26 Plant-based dieting | 
52:12 Race day nutrition | 
1:12:10 Paige's Progress | 
1:24:54 Pool etiquette 0:00 Cam's Corner Corrections and intro | 8:48 Lucy Charles the queen of second place? | 17:38 Triathlon distances | 28:30 Cam's Corner | 33:46 Indoor training + send us your pain cave! | 42:15 It's the off-season! | 47:00 Our favorite pro triathletes | 51:00 Upcoming Races | 0:00 Introducing Nick Tranbarger | 
2:53 Interview: Nick Tranbarger | 
1:05:00 The Wrap-up with Morgan and Cam 0:00 Audience questions | 9:46 Pro race recaps (IM Western Australia, 70.3 Bahrain, 70.3 Indian Wells, Challenge Daytona, USATF Club XC Nationals) | 28:22 Cam's Corner (Carbon shoes *again*, shoe drop, tube valves, ceramic speed Driven, bike racks) | 48:50 2020 Olympics Drama | 55:40 New and cancelled races | 1:04:00 Thanks everyone for listening! 0:00 Leaving Boulder | 29:47 Arriving in Palm Springs | 40:35 Athlete Check in (Friday) | 47:40 Race Prep and Gear Check-In | 1:31:30 The Race | 1:59 Post Race: awards ceremony, World Championship slot allocation"
Force Divided By Mass,"The art and science of running performance Alex Hutchinson is a writer, ex-physicist &amp; accomplished runner. He is columnist for Outside &amp; the author of the New York Times Bestseller ENDURE. Steve Palladino is a former former elite runner with a 2:16 marathon PR and was a qualifier for the 1980 Olympic trials. He is currently the head coach for the Palladino Power Project and specializes in running with power."
Forging Iron Podcast: The Heart and Science of Endurance Sports,"Exploring the habits and stories of the athletes who push their potential and inspire others to do the same. In our second episode Griffin shares his training and coaching philosophy, exciting new developments, and the reason behind his Kona attempt in 2020 (beyond the experience itself!). In our first episode, Griffin interviews his mentor Loran Storts on his journey through athletics."
Form Fit Podcast,Do you want an ultimate guide to health and fitness to be available to the world for free? So do I. That's what I'm trying to work towards with the Form Fit Podcast. Join my journey of learning the best from the best. I start this podcast by explaining my purpose. I get into explaining my journey so you can get a better understanding of me. Then I talk about exercise and why it's important and give direction on how to get started. This is going to be one of three episodes that are just me talking. I feel that this approach will give the audience a better understanding of what my perspectives are. The episodes following my first three I intend on interviewing the best in the business on health and fitness.
Formerly Me,"An Online Movement to Motivate and Inspire people to Become the Best Versions of themselves. Plan, Prepare, and be gentle with yourself. Intro to Formerly Me, the Team, Sleep and Time Management Tips, and saying YES to YOU."
Four Pillar Fitness,"My name is Phil Hueston, and I am not your average pretty trainer. I've spent 20 years in the fitness profession and made enough mistakes to know I don't know squat. After working with high-level athletes, busy moms and dads, kids of all ages and even Autistic and special needs clients, I've learned that it's not all about sets, reps and meal prep.I explore all 4 Pillars of Fitness (physical, mental, emotional, spiritual) with my clients, and I'll do the same right here. Join me for a sometimes irreverent journey through the ""fit-mosphere!"" Support this podcast: https://anchor.fm/four-pillar-fitness/support Youth sports, especially in the US, has taken a lot of criticism lately.

Not so much for the actual playing of the sports themselves. The criticism usually involves the behaviors, attitudes and actions of the adults involved.

Generally, it's always been thought that playing sports is good for kids.

Most people who've played youth sports would likely agree.

In today's episode, I review a study out of Montreal that links playing youth sports between 6 and 10 with better emotional health outcomes at age 12 and beyond.

Is this true? Can they back up their claims?

Listen in and get the low-down!

Website version is here: Youth Sports Participation Linked to Reduced Risk of Emotional Difficulties

Leave me a voice message on Anchor: anchor.fm/four-pillar-fitness

On Instagram @coachphilhueston

Keep the faith and keep after it!


--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app

--- 

Send in a voice message: https://anchor.fm/four-pillar-fitness/message
Support this podcast: https://anchor.fm/four-pillar-fitness/support It's (another) New Year. Are you making (another) batch of resolutions?

How'd the last bunch work out?

If the answer is ""not so hot,"" the problem might not be you.

It might just be the resolutions you're making!

More accurately, it might be the nature of your resolutions.

Want to make better, more successful resolutions?

Join me and learn:

Why emotion matters to your resolutions!

What the Avoidance Violation Effect is and how it can derail your resolutions!

Why absolutes can crush your resolutions!

Why progress resolutions will be winners for virtually everyone who tries them!

The 9 resolutions around your health and fitness that can change the game - for everyone who tries them!

The original article is on my website ""Make Resolutions That Don't Suck and Won't Fail!""

You can leave me a voice message at anchor.fm/four-pillar-fitness

Find me on Instagram @coachphilhueston

On Facebook at facebook.com/CoachPhilHueston

Keep the faith and keep after it!


--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app

--- 

Send in a voice message: https://anchor.fm/four-pillar-fitness/message
Support this podcast: https://anchor.fm/four-pillar-fitness/support It's the most wonderful time of the year!

That's right!

Christmas, Hanukkah, New Year's Eve all come rolling right in after Thanksgiving!

It's like one calorie-riddled binge opportunity after another!

Parties, errands, decorating, family get-togethers!

Food, time crunches, stress, booze...

It can all add up to a serious post-holiday bulge!

But you can avoid it if you're prepared.

And no, you don't have to skip this one this year. (Little tribute to the Waitresses there!)

Check out this episode and I'll share some tips on how to have fun and not end up fat and ""un-jolly!""

If you're listening on iTunes, be sure to leave a rating and a comment!

The website is https://coachphilhueston.com

Find me on Instagram @coachphilhueston

Facebook page is https://www.facebook.com/CoachPhilHueston

You can also leave me a voice message at anchor.fm/four-pillar-fitness

Keep the faith and keep after it!


--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app

--- 

Send in a voice message: https://anchor.fm/four-pillar-fitness/message
Support this podcast: https://anchor.fm/four-pillar-fitness/support What's the key to success?

Is there really a ""secret sauce"" for long-term success and achievement?

What separates those who push through the hard times from those who bail when the going gets tough?

Angela Duckworth is the author of the book ""Grit"" and a researcher at the University of Pennsylvania.

In this episode, I take a look at a huge study done on the factors that predict success.

Ms. Duckworth and her colleagues looked at over 11,000 West Point cadets to see what personality traits separated the successful from the unsuccessful.

Give it a listen. I think you'll find it interesting!

As always, you can reach me by voice message at https://anchor.fm/four-pillar-fitness

I'm on Instagram @coachphilhueston

I'm on Twitter @philhueston

The website is https://coachphilhueston.com/

Thank you for listening!


--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app

--- 

Send in a voice message: https://anchor.fm/four-pillar-fitness/message
Support this podcast: https://anchor.fm/four-pillar-fitness/support Today's episode is a fresh edition of ""Know Stuff,"" the series that brings you the stuff you need to know about health, fitness, nutrition and performance topics in a way that you might actually enjoy!

In this episode, we're talking about the gastrocnemius.

This muscle is often overlooked until it becomes a pain!

Find out how it's built, what it does, what can go wrong and how to keep it healthy and performing at it's best!

I also share how the gastrocnemius is related to one of the most commonly occurring injuries among soccer players.

You'll also find out what ""tennis leg"" is and how it's related to beer pong (or not.)

Join me and have some fun learning about this topic!

Find me on my website at https://coachphilhueston.com

I'm on Instagram @coachphilhueston

Twitter @philhueston




--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app

--- 

Send in a voice message: https://anchor.fm/four-pillar-fitness/message
Support this podcast: https://anchor.fm/four-pillar-fitness/support Today, I'm going to share my thoughts on whether parents should hire a youth fitness coach for their kids.

Of course, since I am a Youth Fitness Professional, you might imagine that I'm biased toward a ""yes"" answer.

You might be surprised!

While I do believe that every kid would benefit from working with a Youth Fitness Pro, that doesn't mean it's the right choice for you, as a parent, or for your kid.

So I'm going to share a few insights that may help you make that decision.

As always, I welcome your questions and thoughts.

If you like what you hear and you're on iTunes, please leave me a 5 star rating and a review!

You can reach me by voice message on Anchor: anchor.fm/four-pillar-fitness

I'm on Instagram @coachphilhueston

On Twitter @philhueston

The website is https://coachphilhueston.com

Keep the faith and keep after it!


--- 

This episode is sponsored by 
· Anchor: The easiest way to make a podcast.  https://anchor.fm/app

--- 

Send in a voice message: https://anchor.fm/four-pillar-fitness/message
Support this podcast: https://anchor.fm/four-pillar-fitness/support"
